PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40130227,Five years of post-marketing liver safety data from the tolvaptan Risk Evaluation and Mitigation Strategy.,2025-02-25,"Lohrmann, Emanuel, Jaeger, Thomas, Enekebe, Kene, Zhang, Zhen, Wilt, Timothy, Riggen, Michele, Stemhagen, Annette, Nair, Indu, Nunna, Sasikiran, Fernandes, Ancilla W, Gandhi, Hema, Sergeyeva, Olga, George, Vinu","Otsuka Pharmaceutical GmbH, Otsuka Pharmaceutical Development & Commercialization Inc., USA.",
40121611,Major Adverse Cardiovascular Events Related to JAK Inhibitors: A Disproportionality Analysis Using the WHO Global Individual Case Safety Database.,2025-03-23,"Demorgues, Maxime, Salvo, Francesco",Service de Pharmacologie Médicale,
40120141,Surfing the T Wave: A Primer on ECG T Wave Morphologies Encountered in Clinical Trials and Impact on the QT Interval and Patient Safety.,Unknown,"Lester, Robert M, Paglialunga, Sabina",Celerion Inc.,
40106171,Pregnancy and Infant Outcomes in Women with Multiple Sclerosis Exposed to Glatiramer Acetate Therapy: An Extended 4-Year Safety Update.,2025-03-19,"Kaplan, Sigal, Ghimpeteanu, Andra, Dragut, Claudia Florentina","Teva Pharmaceutical Industries Ltd, Pharmacovigilance",
40103913,Comparative Analysis of Culture and Sputum Smear Conversion Timelines and Their Associated Factors in Smokers Versus Non-smokers With Drug-Resistant Tuberculosis.,2025-03-17,"Ali, Sajjad, Rahman, Nabi Rahman, Ashraf, Rumman, Naveed, Akmal, Ullah, Ubaid","Pro-Gene Diagnostics and Research Laboratory, Association for Community Development, Association For Community Development, Medical Teaching Institution (MTI) Mardan Medical Complex",
40103593,Post-marketing safety re-evaluation of placental peptide injection in China: a large-scale multicenter real-world study.,2025-03-04,"Liu, Xiaoguang",Beijing Dehuijia Pharmaceutical Technology Co.,
40098629,Descriptive analysis of the national drug adverse events (AEs) database in Lebanon.,2025-03-14,"El Sayed, Sarah Reda, Ibrahim, Aya, Zeitoun, Abeer",Quality Assurance of Pharmaceutical Products Department,
40098448,Enhanced passive safety surveillance of standard-dose and high-dose influenza vaccines in Finland and Germany 2023-24 season.,2025-03-18,"Amaral de Avila Machado, Marina, Gallo, Sophie, Goldstein, Alexander, Vachhani, Parth, Byrareddy, Reddappa Maniganahally","Sanofi, Patient Safety & Pharmacovigilance",
40090811,Vaccines and the risk of Guillain-Barré syndrome: A French pharmacovigilance analysis.,2025-03-03,"Gligorov, Marie, Lebrun-Vignes, Bénédicte, Masmoudi, Kamel, Junot, Helga, Pourcher, Valérie, Demeret, Sophie, Bihan, Kevin","hôpital de la Pitié-Salpêtrière, Pharmacie à usage intérieure site HU Pitié-Salpêtrière-Charles-Foix, Département de pharmacologie",
40075033,"Navigating Diverging Perspectives: Reasoning, Evidence, and Decision-Making in Drug Safety.",2025-03-12,"Hammad, Tarek A, Davies, Simon",Inc.,
